Ourense	314853	318391	322293	326724	330257	333257	335219	335642	336099	336926	338671	339555	340258	342213	343768	344623	345241	345620	344170	 	346913	151226	153043	155090	157425	159175	160570	161346	161454	161848	162026	162785	163012	163299	164171	164967	165295	165472	165844	165209	 	166778	163627	165348	167203	169299	171082	172687	173873	174188	174251	174900	175886	176543	176959	178042	178801	179328	179769	179776	178961	 	180135
Palencia	164644	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	81609	82232	82997	83696	84630	85118	85543	85950	85852	85505	85314	85568	85829	86439	86993	87524	88005	88717	88892	 	89565	83035	83803	84612	85259	86083	86550	86967	87356	87602	87776	87839	87903	88161	88608	89132	89821	90311	90748	90731	 	91006
Las Palmas	1097800	1098406	1100027	1103850	1100813	1096980	1090605	1083502	1070032	1042131	1024186	1011928	987128	979606	951037	924558	897595	872669	849863	 	834085	547928	548849	550166	553010	552185	551241	548699	545990	540105	526349	517664	511987	498865	495243	480420	466534	451370	437946	425260	 	417673	549872	549557	549861	550840	548628	545739	541906	537512	529927	515782	506522	499941	488263	484363	470617	458024	446225	434723	424603	 	416412
Pontevedra	944346	947374	950919	955050	958428	963511	962472	959764	953400	947639	943117	938311	930931	927555	919934	916176	912621	908803	906298	 	915104	456551	458114	460167	462605	464608	466691	465900	464365	461469	458359	455785	453103	449112	446839	442257	439888	437581	435557	434381	 	439098	487795	489260	490752	492445	493820	496820	496572	495399	491931	489280	487332	485208	481819	480716	477677	476288	475040	473246	471917	 	476006
La Rioja	315794	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	155969	156733	158090	160159	161574	161582	161884	162173	160342	155773	154556	151730	147214	143995	140780	134506	130956	131518	130708	 	131183	159825	160320	160912	161868	162035	161373	160531	159529	157159	153195	151821	149354	146339	143395	140834	135894	133222	133660	132936	 	133758
Salamanca	335985	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	163613	165379	167061	168950	171489	172584	172934	173512	172878	171572	172393	171944	171092	169851	169208	170644	170357	171077	170152	 	172071	172372	174016	175398	176598	179075	180402	180685	181096	180526	179754	180717	180470	179892	178420	177912	179565	179376	180051	179398	 	180949
Santa Cruz de Tenerife	1004124	1001900	1004788	1014829	1017531	1029789	1027914	1020490	1005936	983820	971647	956352	928412	915262	892718	856808	818681	800020	780152	 	772449	494910	494354	496207	502292	504055	510350	510007	506646	500032	489144	483730	476243	461793	454916	442933	424015	403529	393761	382832	 	379557	509214	507546	508581	512537	513476	519439	517907	513844	505904	494676	487917	480109	466619	460346	449785	432793	415152	406259	397320	 	392892
Segovia	155652	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	78271	79355	80316	81598	82695	82967	83034	83636	83252	80492	78982	78308	76724	75656	74815	73555	73300	73506	73410	 	73883	77381	78215	78987	80104	81006	81202	81234	81218	80647	78830	77616	77209	75916	75045	74471	73473	73313	73479	73345	 	73887
Sevilla	1939775	1941480	1941355	1942155	1938974	1928962	1917097	1900224	1875462	1849268	1835077	1813908	1792420	1782862	1758720	1747441	1734917	1725482	1714845	 	1705320	949432	950587	950883	951597	950413	945766	940416	932941	921256	907853	900967	890627	880133	875013	862811	856878	850274	846224	840910	 	836478	990343	990893	990472	990558	988561	983196	976681	967283	954206	941415	934110	923281	912287	907849	895909	890563	884643	879258	873935	 	868842
Soria	90040	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	45595	46077	46723	47336	47979	48347	48400	48286	47881	47174	47110	46693	46048	45651	45860	45649	45398	45587	45690	 	46321	44445	44929	45498	45955	46543	46876	46858	46815	46765	46419	46393	46080	45604	45303	45627	45665	45513	45665	45903	 	46527
Tarragona	792299	795101	800962	810178	814199	811401	808420	803301	788895	757795	730466	704907	674144	654149	631156	612086	598533	588499	580245	 	574676	395737	397730	401634	407451	410461	409732	409041	407904	402024	385081	370676	356897	339607	328991	316447	305689	297745	292693	288339	 	284930	396562	397371	399328	402727	403738	401669	399379	395397	386871	372714	359790	348010	334537	325158	314709	306397	300788	295806	291906	 	289746
Teruel	136977	138932	140365	142183	143728	144607	145277	146751	146324	144046	142160	141091	139333	138686	137342	136233	136473	136849	136840	 	138211	69504	70605	71449	72529	73478	74008	74563	75733	75777	74262	73069	72273	71073	70641	69682	68877	68900	69032	68995	 	69530	67473	68327	68916	69654	70250	70599	70714	71018	70547	69784	69091	68818	68260	68045	67660	67356	67573	67817	67845	 	68681
Toledo	688672	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	346672	349553	352949	357149	360472	358536	354101	350578	341277	323992	310832	301563	290395	282453	273893	268082	263194	260884	258829	 	256792	342000	343818	346187	349258	350756	348706	343858	339057	328926	315629	304786	296693	287665	280646	272645	268049	264771	262575	260835	 	259088
Valencia	2544264	2543315	2548898	2566474	2580792	2578719	2581147	2575362	2543209	2486483	2463592	2416628	2358919	2320297	2267503	2227170	2201200	2187633	2172796	 	2172840	1249773	1250165	1253758	1264620	1274240	1274365	1277726	1276238	1261081	1230628	1220105	1193569	1162145	1141901	1113300	1090165	1074701	1067747	1060156	 	1059657	1294491	1293150	1295140	1301854	1306552	1304354	1303421	1299124	1282128	1255855	1243487	1223059	1196774	1178396	1154203	1137005	1126499	1119886	1112640	 	1113183
Valladolid	523679	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	255591	256999	258865	260619	261941	262609	262141	261785	260075	255983	254897	252689	250782	248614	245858	244031	242888	242546	241382	 	240565	268088	269289	270292	271665	272339	272265	271499	270790	268944	265678	264352	261985	260081	257688	255299	253930	252802	252048	250647	 	249640
Zamora	180406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	89321	90888	91871	93336	95100	95993	96427	97144	98103	97807	97766	97941	98105	98684	99071	99829	100258	100876	101213	 	102214	91085	92548	93561	94934	96512	97390	97787	98521	99118	99430	99726	100104	100419	101004	101607	102527	103211	103774	103988	 	105261
Zaragoza	950507	956006	960111	978638	978130	973325	973252	970313	955323	932502	917288	912072	897350	880118	871209	857565	848006	844571	841438	 	842419	466105	469456	471675	482677	482908	481054	482090	481456	473687	460756	452607	450006	441840	432607	427901	420094	414002	412194	410517	 	411029	484402	486550	488436	495961	495222	492271	491162	488857	481636	471746	464681	462066	455510	447511	443308	437471	434004	432377	430921	 	431390
Ceuta	84519	84263	84963	84180	84018	82376	80579	78674	77389	76603	75861	75276	74654	74931	76152	75694	75241	73704	72117	 	 	42846	42757	43354	43060	42948	42165	41269	40118	39385	38913	38581	38315	38113	38395	39195	38884	38497	37115	36102	 	 	41673	41506	41609	41120	41070	40211	39310	38556	38004	37690	37280	36961	36541	36536	36957	36810	36744	36589	36015	 	 
Melilla	86026	85584	84509	83679	80802	78476	76034	73460	71448	69440	66871	65488	68016	68463	69184	68789	66263	56929	60108	 	 	43768	43593	43075	43017	41569	40256	38819	37244	36336	35208	33962	33322	34455	34737	35178	35027	33976	28952	30569	 	 	42258	41991	41434	40662	39233	38220	37215	36216	35112	34232	32909	32166	33561	33726	34006	33762	32287	27977	29539	 	 
